stad, kommun
Laholm,Laholms
Lammhult,Växjö
Landeryd,Hylte
Landfjärden,Nynäshamns
Landsbro,Vetlanda
Landskrona,Landskrona
Landvetter,Härryda
Lanesund och Överby,Uddevalla
Lanna,Värnamo
Larv,Vara
Latorpsbruk,Örebro
Laxvik,Halmstads
Laxå,Laxå
Lekeryd,Jönköpings
Leksand,Leksands
Lenhovda,Uppvidinge
Lerbäckshult,Ängelholms
Lerdala,Skövde
Lerum,Lerums
Lesjöfors,Filipstads
Lessebo,Lessebo
Liatorp,Älmhults
Lidatorp och Klövsta,Nynäshamns
Liden,Sundsvalls
Lidhult,Ljungby
Lidingö,Lidingö
Lidköping,Lidköpings
Lidköping norra,Lidköpings
LillaEdet,LillaEdets
LillaEdetVästra ,LillaEdets
LillaHarrie,Kävlinge
LillaStenby,Ekerö
LillaTjärby,Laholms
Lillhaga,Ljusdals
Lillhärdal,Härjedalens
Lillkyrka,Enköpings
Lillpite,Piteå
Lima,Malung-Sälens
Limedsforsen,Malung-Sälens
Limmared,Tranemo
Linderöd,Kristianstads
Lindesberg,Lindesbergs
Lindholmen,Vallentuna
Lindsdal,Kalmar
Lindö,Norrköpings
Lingbo,Ockelbo
Linghed,Falu
Linghem,Linköpings
Linköping,Linköpings
Linneryd,Tingsryds
Listerby,Ronneby
Lit,Östersunds
Ljung och Annelund,Herrljunga
Ljunga,Norrköpings
Ljungaviken,Sölvesborgs
Ljungby,Ljungby
Ljungbyhed,Klippans
Ljungbyholm,Kalmar
Ljungsarp,Tranemo
Ljungsbro,Linköpings
Ljungskile,Uddevalla
Ljusdal,Ljusdals
Ljusfallshammar,Finspångs
Ljusne,Söderhamns
Loftahammar,Västerviks
Lomma,Lomma
Los,Ljusdals
Lotorp,Finspångs
Lottefors,Bollnäs
Lucksta,Sundsvalls
Luddingsbo,Söderköpings
Ludvika,Ludvika
Lugnet och Skälsmara,Värmdö
Lugnvik,Kramfors
Lugnås,Mariestads
Luleå,Luleå
Lund,Lunds
Lund,Gävle
Lundby,Kungälvs
Lundby och Malm,Norrköpings
Lunde,Kramfors
Lundsbrunn,Götene
Lunnarp,Tomelilla
Lunne,Östersunds
Lurudden,Ekerö
Lustigkulla och Gröndal,Hallstahammars
Lycksele,Lycksele
Lycksta,Västerås
Lyrestad,Mariestads
Lysekil,Lysekils
Lysvik,Sunne
Långared,Alingsås
Långasand och Ugglarp,Falkenbergs
Långasjö,Emmaboda
Långsele,Sollefteå
Långshyttan,Hedemora
Långvik,Värmdö
Långviksmon,Örnsköldsviks
Långås,Falkenbergs
Läby,Uppsala
Läckeby,Kalmar
Länghem,Tranemo
Länna,Uppsala
Läppe,Vingåkers
Lärbro,RegionGotland
Löberöd,Eslövs
Löddeköpinge,Kävlinge
Löderup,Ystads
Lödöse,LillaEdets
Lögdeå,Nordmalings
Lönsboda,Osby
Lörby,Sölvesborgs
Löttorp,Borgholms
Lövestad,Sjöbo
Lövstalöt,Uppsala
Lövånger,Skellefteå
Löwenströmskalasarettet,UpplandsVäsby
Madängsholm,Tidaholms
Magra,Alingsås
Mala,Hässleholms
Malmberget,Gällivare
MalmbergetÖstra ,Gällivare
Malmbäck,Nässjö
Malmen,Västerås
Malmköping,Flens
Malmslätt,Linköpings
Malmö,Malmö
Malmön,Sotenäs
Malsta,Norrtälje
Malung,Malung-Sälens
Malungsfors,Malung-Sälens
Malå,Malå
Mantorp,Mjölby
Marbystrand,Norrköpings
Marbäck,Ulricehamns
Margretetorp,Ängelholms
Mariannelund,Eksjö
Marieby,Östersunds
Mariefred,Strängnäs
Marieholm,Eslövs
Marielund,Uppsala
Marielund,Strängnäs
Mariestad,Mariestads
Markaryd,Markaryds
Marma,Älvkarleby
Marmaskogen,Söderhamns
Marmaverken,Söderhamns
Marmorbyn,Vingåkers
Marstrand,Kungälvs
Matfors,Sundsvalls
Medle,Skellefteå
Medåker,Arboga
Mehedeby,Tierps
Mellansel,Örnsköldsviks
Mellbystrand,Laholms
Mellerud,Melleruds
Mellösa,Flens
